Номер,Дата,Модель,Тип,Цена,Цвет,Тип оплаты,Растаможка
1,2024-04-15,BYD e2,Электромобиль,236600000,Серебристый,Полная оплата,С растаможкой
2,2024-08-19,BYD e2,Электромобиль,236600000,Синий,Полная оплата,С растаможкой
3,2024-09-18,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Синий,Полная оплата,С растаможкой
4,2024-01-08,BYD e2,Электромобиль,236600000,Серебристый,Кредит,Без растаможки
5,2024-05-11,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Серебристый,Полная оплата,С растаможкой
6,2024-06-17,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Кредит,С растаможкой
7,2024-10-28,BYD Seagull,Электромобиль,208300000,Красный,Полная оплата,Без растаможки
8,2024-12-14,BYD Seagull,Электромобиль,208300000,Черный,Кредит,Без растаможки
9,2024-07-26,BYD Chazor 55KM Luxe,Гибрид,279400500,Белый,Кредит,Без растаможки
10,2024-04-13,BYD e2,Электромобиль,236600000,Красный,Кредит,Без растаможки
11,2024-12-01,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Черный,Полная оплата,С растаможкой
12,2024-01-06,BYD Han,Электромобиль,613581000,Зеленый,Полная оплата,С растаможкой
13,2024-06-28,BYD Chazor 55KM Luxe,Гибрид,279400500,Красный,Кредит,Без растаможки
14,2024-05-26,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Синий,Полная оплата,Без растаможки
15,2024-06-25,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Зеленый,Полная оплата,С растаможкой
16,2024-10-03,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Серебристый,Полная оплата,С растаможкой
17,2024-10-29,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Белый,Полная оплата,С растаможкой
18,2024-11-02,BYD e2,Электромобиль,236600000,Зеленый,Полная оплата,Без растаможки
19,2024-01-22,BYD Chazor 55KM Luxe,Гибрид,279400500,Белый,Кредит,Без растаможки
20,2024-12-25,BYD Seagull,Электромобиль,208300000,Черный,Кредит,С растаможкой
21,2024-02-22,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Белый,Кредит,Без растаможки
22,2024-06-04,BYD Seagull,Электромобиль,208300000,Черный,Кредит,Без растаможки
23,2024-05-08,BYD Yuan Up,Электромобиль,266700000,Серебристый,Кредит,Без растаможки
24,2024-11-05,BYD Yuan Up,Электромобиль,266700000,Синий,Кредит,Без растаможки
25,2024-08-26,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Зеленый,Полная оплата,С растаможкой
26,2024-06-11,BYD Seagull,Электромобиль,208300000,Зеленый,Полная оплата,Без растаможки
27,2024-10-23,BYD Yuan Up,Электромобиль,266700000,Красный,Полная оплата,С растаможкой
28,2024-09-19,BYD Seagull,Электромобиль,208300000,Красный,Кредит,С растаможкой
29,2024-09-15,BYD Seagull,Электромобиль,208300000,Черный,Полная оплата,С растаможкой
30,2024-05-18,BYD Yuan Up,Электромобиль,266700000,Синий,Полная оплата,С растаможкой
31,2024-11-25,BYD Seagull,Электромобиль,208300000,Красный,Кредит,Без растаможки
32,2024-02-10,BYD Han,Электромобиль,613581000,Черный,Полная оплата,Без растаможки
33,2024-11-04,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Серебристый,Полная оплата,С растаможкой
34,2024-01-10,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Серебристый,Кредит,Без растаможки
35,2024-09-12,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Черный,Полная оплата,Без растаможки
36,2024-01-01,BYD Seagull,Электромобиль,208300000,Белый,Кредит,С растаможкой
37,2024-08-17,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Синий,Кредит,Без растаможки
38,2024-07-22,BYD Chazor 55KM Active,Гибрид,251459100,Зеленый,Кредит,С растаможкой
39,2024-07-10,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Кредит,С растаможкой
40,2024-07-27,BYD Han,Электромобиль,613581000,Синий,Полная оплата,Без растаможки
41,2024-05-25,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Черный,Полная оплата,С растаможкой
42,2024-03-11,BYD Yuan Up,Электромобиль,266700000,Серебристый,Кредит,С растаможкой
43,2024-06-16,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Серебристый,Полная оплата,С растаможкой
44,2024-10-14,BYD Han,Электромобиль,613581000,Зеленый,Полная оплата,С растаможкой
45,2024-09-08,BYD e2,Электромобиль,236600000,Черный,Кредит,С растаможкой
46,2024-04-27,BYD Chazor 55KM Luxe,Гибрид,279400500,Зеленый,Кредит,Без растаможки
47,2024-10-15,BYD Chazor 55KM Active,Гибрид,251459100,Красный,Кредит,С растаможкой
48,2024-08-20,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Белый,Кредит,С растаможкой
49,2024-03-20,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Полная оплата,Без растаможки
50,2024-04-05,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Белый,Кредит,С растаможкой
51,2024-11-18,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Белый,Полная оплата,Без растаможки
52,2024-06-21,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Полная оплата,С растаможкой
53,2024-11-02,BYD Han,Электромобиль,613581000,Синий,Полная оплата,Без растаможки
54,2024-12-29,BYD e2,Электромобиль,236600000,Синий,Кредит,С растаможкой
55,2024-10-09,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Красный,Кредит,С растаможкой
56,2024-04-13,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Зеленый,Полная оплата,С растаможкой
57,2024-10-02,BYD e2,Электромобиль,236600000,Зеленый,Полная оплата,Без растаможки
58,2024-05-22,BYD Han,Электромобиль,613581000,Красный,Кредит,С растаможкой
59,2024-06-20,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Полная оплата,С растаможкой
60,2024-12-13,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Серебристый,Кредит,Без растаможки
61,2024-10-05,BYD Chazor 55KM Active,Гибрид,251459100,Черный,Полная оплата,Без растаможки
62,2024-02-24,BYD Han,Электромобиль,613581000,Белый,Кредит,С растаможкой
63,2024-03-15,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Синий,Полная оплата,С растаможкой
64,2024-09-28,BYD e2,Электромобиль,236600000,Черный,Кредит,Без растаможки
65,2024-03-18,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Белый,Полная оплата,С растаможкой
66,2024-08-02,BYD Chazor 55KM Active,Гибрид,251459100,Серебристый,Кредит,Без растаможки
67,2024-11-16,BYD Chazor 55KM Luxe,Гибрид,279400500,Серебристый,Полная оплата,С растаможкой
68,2024-11-20,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Серебристый,Кредит,Без растаможки
69,2024-10-20,BYD Chazor 55KM Luxe,Гибрид,279400500,Серебристый,Кредит,С растаможкой
70,2024-10-10,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Синий,Кредит,Без растаможки
71,2024-02-27,BYD e2,Электромобиль,236600000,Белый,Полная оплата,Без растаможки
72,2024-01-18,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Черный,Полная оплата,С растаможкой
73,2024-07-26,BYD Yuan Up,Электромобиль,266700000,Синий,Полная оплата,Без растаможки
74,2024-12-26,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Красный,Кредит,С растаможкой
75,2024-08-23,BYD Seagull,Электромобиль,208300000,Красный,Кредит,Без растаможки
76,2024-03-23,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Серебристый,Кредит,С растаможкой
77,2024-12-29,BYD Seagull,Электромобиль,208300000,Серебристый,Полная оплата,С растаможкой
78,2024-07-13,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Зеленый,Полная оплата,Без растаможки
79,2024-12-18,BYD Han,Электромобиль,613581000,Черный,Полная оплата,С растаможкой
80,2024-02-01,BYD Yuan Up,Электромобиль,266700000,Черный,Полная оплата,Без растаможки
81,2024-02-05,BYD Yuan Up,Электромобиль,266700000,Красный,Полная оплата,С растаможкой
82,2024-05-20,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Серебристый,Полная оплата,Без растаможки
83,2024-01-25,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Серебристый,Полная оплата,С растаможкой
84,2024-09-24,BYD Yuan Up,Электромобиль,266700000,Серебристый,Полная оплата,Без растаможки
85,2024-04-23,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Красный,Полная оплата,Без растаможки
86,2024-03-27,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Белый,Кредит,С растаможкой
87,2024-10-02,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Красный,Кредит,Без растаможки
88,2024-12-22,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Зеленый,Полная оплата,Без растаможки
89,2024-02-03,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Серебристый,Кредит,Без растаможки
90,2024-07-19,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Синий,Полная оплата,С растаможкой
91,2024-06-03,BYD Han,Электромобиль,613581000,Черный,Полная оплата,Без растаможки
92,2024-03-25,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Черный,Полная оплата,С растаможкой
93,2024-12-27,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Белый,Кредит,Без растаможки
94,2024-05-20,BYD Chazor 55KM Active,Гибрид,251459100,Синий,Кредит,С растаможкой
95,2024-11-06,BYD Chazor 55KM Luxe,Гибрид,279400500,Серебристый,Полная оплата,Без растаможки
96,2024-06-16,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Зеленый,Кредит,Без растаможки
97,2024-06-18,BYD Yuan Up,Электромобиль,266700000,Зеленый,Полная оплата,С растаможкой
98,2024-12-10,BYD Chazor 55KM Luxe,Гибрид,279400500,Красный,Полная оплата,С растаможкой
99,2024-05-09,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Синий,Кредит,С растаможкой
100,2024-06-23,BYD Chazor 55KM Active,Гибрид,251459100,Синий,Кредит,С растаможкой
101,2024-07-11,BYD Chazor 55KM Luxe,Гибрид,279400500,Красный,Полная оплата,Без растаможки
102,2024-06-21,BYD Han,Электромобиль,613581000,Белый,Полная оплата,С растаможкой
103,2024-11-08,BYD Han,Электромобиль,613581000,Черный,Кредит,Без растаможки
104,2024-02-05,BYD e2,Электромобиль,236600000,Белый,Кредит,Без растаможки
105,2024-02-08,BYD Chazor 55KM Active,Гибрид,251459100,Серебристый,Кредит,С растаможкой
106,2024-08-17,BYD Seagull,Электромобиль,208300000,Красный,Полная оплата,Без растаможки
107,2024-01-24,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Синий,Полная оплата,С растаможкой
108,2024-12-17,BYD Seagull,Электромобиль,208300000,Белый,Кредит,С растаможкой
109,2024-06-12,BYD Seagull,Электромобиль,208300000,Белый,Полная оплата,С растаможкой
110,2024-03-21,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Черный,Полная оплата,Без растаможки
111,2024-01-14,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Белый,Кредит,Без растаможки
112,2024-08-26,BYD Chazor 55KM Active,Гибрид,251459100,Белый,Полная оплата,С растаможкой
113,2024-11-14,BYD Chazor 55KM Active,Гибрид,251459100,Черный,Кредит,С растаможкой
114,2024-07-30,BYD Yuan Up,Электромобиль,266700000,Серебристый,Полная оплата,Без растаможки
115,2024-08-24,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Черный,Кредит,С растаможкой
116,2024-11-11,BYD Han,Электромобиль,613581000,Красный,Кредит,С растаможкой
117,2024-08-26,BYD Yuan Up,Электромобиль,266700000,Белый,Полная оплата,Без растаможки
118,2024-10-08,BYD Yuan Up,Электромобиль,266700000,Черный,Кредит,С растаможкой
119,2024-12-23,BYD Yuan Up,Электромобиль,266700000,Зеленый,Полная оплата,Без растаможки
120,2024-12-21,BYD Yuan Up,Электромобиль,266700000,Зеленый,Полная оплата,Без растаможки
121,2024-11-15,BYD Seagull,Электромобиль,208300000,Синий,Кредит,С растаможкой
122,2024-10-21,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Черный,Кредит,С растаможкой
123,2024-11-24,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Синий,Полная оплата,С растаможкой
124,2024-07-19,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Зеленый,Полная оплата,Без растаможки
125,2024-11-23,BYD Seagull,Электромобиль,208300000,Серебристый,Кредит,С растаможкой
126,2024-04-27,BYD Chazor 55KM Luxe,Гибрид,279400500,Синий,Полная оплата,С растаможкой
127,2024-07-10,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Зеленый,Кредит,Без растаможки
128,2024-05-18,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Черный,Полная оплата,С растаможкой
129,2024-03-16,BYD Yuan Up,Электромобиль,266700000,Красный,Полная оплата,С растаможкой
130,2024-10-13,BYD Han,Электромобиль,613581000,Черный,Кредит,С растаможкой
131,2024-09-15,BYD Chazor 55KM Active,Гибрид,251459100,Зеленый,Полная оплата,С растаможкой
132,2024-02-18,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Красный,Кредит,С растаможкой
133,2024-06-18,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Черный,Кредит,С растаможкой
134,2024-02-07,BYD Seagull,Электромобиль,208300000,Зеленый,Полная оплата,Без растаможки
135,2024-03-13,BYD e2,Электромобиль,236600000,Серебристый,Полная оплата,С растаможкой
136,2024-12-18,BYD Yuan Up,Электромобиль,266700000,Синий,Кредит,С растаможкой
137,2024-04-03,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Серебристый,Кредит,Без растаможки
138,2024-09-30,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Зеленый,Кредит,Без растаможки
139,2024-04-25,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Черный,Кредит,Без растаможки
140,2024-12-02,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Белый,Полная оплата,Без растаможки
141,2024-07-12,BYD Han,Электромобиль,613581000,Черный,Полная оплата,Без растаможки
142,2024-04-06,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Синий,Кредит,С растаможкой
143,2024-10-05,BYD Han,Электромобиль,613581000,Белый,Полная оплата,С растаможкой
144,2024-07-28,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Черный,Полная оплата,Без растаможки
145,2024-12-21,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Зеленый,Полная оплата,С растаможкой
146,2024-06-04,BYD Chazor 55KM Active,Гибрид,251459100,Синий,Кредит,Без растаможки
147,2024-10-21,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Белый,Кредит,С растаможкой
148,2024-08-06,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Черный,Кредит,Без растаможки
149,2024-11-27,BYD Chazor 55KM Active,Гибрид,251459100,Синий,Кредит,С растаможкой
150,2024-10-04,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Белый,Кредит,Без растаможки
151,2024-09-24,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Серебристый,Полная оплата,Без растаможки
152,2024-08-14,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Серебристый,Кредит,Без растаможки
153,2024-08-16,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Белый,Кредит,Без растаможки
154,2024-09-04,BYD Yuan Up,Электромобиль,266700000,Зеленый,Полная оплата,Без растаможки
155,2024-02-15,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Серебристый,Полная оплата,Без растаможки
156,2024-01-22,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Черный,Кредит,С растаможкой
157,2024-04-04,BYD Chazor 55KM Active,Гибрид,251459100,Белый,Полная оплата,Без растаможки
158,2024-06-19,BYD e2,Электромобиль,236600000,Белый,Полная оплата,Без растаможки
159,2024-04-10,BYD e2,Электромобиль,236600000,Зеленый,Кредит,Без растаможки
160,2024-03-06,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Белый,Полная оплата,С растаможкой
161,2024-03-24,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Синий,Кредит,Без растаможки
162,2024-10-29,BYD Chazor 55KM Active,Гибрид,251459100,Зеленый,Полная оплата,С растаможкой
163,2024-03-07,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Серебристый,Полная оплата,С растаможкой
164,2024-11-20,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Синий,Кредит,С растаможкой
165,2024-11-22,BYD Chazor 55KM Active,Гибрид,251459100,Красный,Полная оплата,Без растаможки
166,2024-03-29,BYD Han,Электромобиль,613581000,Красный,Кредит,С растаможкой
167,2024-10-18,BYD Chazor 55KM Luxe,Гибрид,279400500,Черный,Кредит,С растаможкой
168,2024-11-29,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Синий,Полная оплата,С растаможкой
169,2024-08-19,BYD Yuan Up,Электромобиль,266700000,Черный,Полная оплата,Без растаможки
170,2024-08-30,BYD Han,Электромобиль,613581000,Синий,Полная оплата,С растаможкой
171,2024-03-19,BYD Seagull,Электромобиль,208300000,Красный,Кредит,Без растаможки
172,2024-05-08,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Красный,Полная оплата,Без растаможки
173,2024-10-03,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Серебристый,Полная оплата,С растаможкой
174,2024-11-09,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Белый,Кредит,С растаможкой
175,2024-11-20,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Серебристый,Полная оплата,Без растаможки
176,2024-04-04,BYD Chazor 55KM Luxe,Гибрид,279400500,Серебристый,Полная оплата,Без растаможки
177,2024-11-05,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Синий,Полная оплата,Без растаможки
178,2024-04-19,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Черный,Кредит,С растаможкой
179,2024-02-03,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Синий,Полная оплата,Без растаможки
180,2024-01-13,BYD Han,Электромобиль,613581000,Зеленый,Кредит,С растаможкой
181,2024-10-03,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Белый,Кредит,Без растаможки
182,2024-01-06,BYD Chazor 55KM Active,Гибрид,251459100,Синий,Полная оплата,Без растаможки
183,2024-05-22,BYD e2,Электромобиль,236600000,Серебристый,Кредит,С растаможкой
184,2024-03-21,BYD e2,Электромобиль,236600000,Белый,Полная оплата,С растаможкой
185,2024-10-01,BYD Seagull,Электромобиль,208300000,Серебристый,Кредит,Без растаможки
186,2024-12-14,BYD Chazor 55KM Luxe,Гибрид,279400500,Серебристый,Кредит,Без растаможки
187,2024-01-27,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Синий,Кредит,С растаможкой
188,2024-05-24,BYD e2,Электромобиль,236600000,Черный,Кредит,С растаможкой
189,2024-12-07,BYD Yuan Up,Электромобиль,266700000,Красный,Полная оплата,С растаможкой
190,2024-11-17,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Красный,Кредит,С растаможкой
191,2024-02-10,BYD e2,Электромобиль,236600000,Красный,Кредит,С растаможкой
192,2024-12-12,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Красный,Полная оплата,С растаможкой
193,2024-08-07,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Красный,Полная оплата,С растаможкой
194,2024-04-06,BYD Chazor 55KM Luxe,Гибрид,279400500,Белый,Полная оплата,Без растаможки
195,2024-03-30,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Черный,Кредит,Без растаможки
196,2024-05-23,BYD Chazor 55KM Active,Гибрид,251459100,Зеленый,Кредит,С растаможкой
197,2024-05-30,BYD Han,Электромобиль,613581000,Зеленый,Полная оплата,Без растаможки
198,2024-03-15,BYD Chazor 55KM Luxe,Гибрид,279400500,Зеленый,Полная оплата,С растаможкой
199,2024-06-17,BYD Chazor 55KM Active,Гибрид,251459100,Красный,Полная оплата,С растаможкой
200,2024-11-26,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Черный,Кредит,С растаможкой
